"Yes","Ja"
"No","Nein"
"Enabled","Aktiviert"
"Title","Titel"
"Create invoice after successful payment","Nach erfolgreicher Bezahlung Rechnung erstellen"
"GiroMobile (GiroCheckout)","GiroMobile (GiroCheckout)"
"giropay (GiroCheckout)","giropay (GiroCheckout)"
"Direct Debit (GiroCheckout)","Lastschrift (GiroCheckout)"
"GiroTrust (GiroCheckout)","GiroTreuhand (GiroCheckout)"
"Credit Card (GiroCheckout)","Kreditkarte (GiroCheckout)"
"Merchant-ID","Verk&auml;ufer-ID"
"Project-ID","Projekt-ID"
"Project-Password","Projekt-Passwort"
"Information from GiroCockpit","Information aus dem GiroCockpit"
"The customer was redirected to GiroMobile.","Der Kunde wurde zu GiroMobile geleitet."
"Payment with iDEAL was successful","Bezahlung mit iDEAL war erfolgreich"
"Payment with iDEAL failed","Bezahlung mit iDEAL ist fehlgeschlagen"
"Error while creating GiroMobile transaction","Fehler beim Erzeugen der Giromobile Transaktion"
"Cancel","Abbrechen"
"New order status","Status einer neuen Order"
"Payment was successful","Bezahlung war erfolgreich"
"Please wait...","Bitte warten..."
"Payment failed","Bezahlung fehlgeschlagen"
"Sorry, this iframe cannot be displayed","Hintergrund kann nicht angezeigt werden"
"Thank you for your visit","Vielen Dank für Ihren Einkauf"
"Bank code","Bankleitzahl"
"Account number","Kontonummer"
"The customer pays with Direct Debit.","Der Kunde bezahlt per Lastschrift."
"Payment with Direct Debit failed","Bezahlung per Lastschrift fehlgeschlagen"
"Payment with Direct Debit was successful","Bezahlung per Lastschrift war erfolgreich"
"The customer was redirected to giropay.","Der Kunde wurde zu giropay weitergeleitet."
"Payment with giropay failed","Bezahlung mit giropay fehlgeschlagen"
"Payment with giropay was successful","Bezahlung mit giropay war erfolgreich"
"Giropay general error","Genereller Giropay Fehler"
"Creator ID","Ersteller-ID"
"Trustee ID","Treuhand-ID"
"Payment result data are invalid","Bezahlungs Resultat Daten sind ungültig"
"The customer pays with Creditcard.","Der Kunde bezahlt mit Kreditkarte"
"Payment with Creditcard failed","Bezahlung mit Kreditkarte fehlgeschlagen"
"Payment with Creditcard was successful","Bezahlung mit Kreditkarte war erfolgreich"
"Automatically generated by Credit Card payment confirmation","Automatisch generiert durch Kreditkarten Zahlungsbestätigung"
"Automatically generated by Direct Debit payment confirmation","Automatisch generiert durch Lastschrift Zahlungsbestätigung"
"Automatically generated by Giromobile payment confirmation","Automatisch generiert durch Giromobile Zahlungsbestätigung"
"Automatically generated by giropay payment confirmation","Automatisch generiert durch giropay Zahlungsbestätigung"
"Automatically generated by Girotrust payment confirmation","Automatisch generiert durch Girotrust Zahlungsbestätigung"
"Seconds","Sekunden"
"Second","Sekunde"
"Minute","Minute"
"Order No.:","Best."
"Invalid Creditcard payment configuration. Please contact the administrator.","Ungültige Kreditkarten Bezahl Konfiguration. Bitte kontaktieren Sie den Administrator."
"Invalid Direct Debit payment configuration. Please contact the administrator.","Ungültige Lastschrift Bezahl Konfiguration. Bitte kontaktieren Sie den Administrator."
"Invalid Giromobile payment configuration. Please contact the administrator.","Ungültige Giromobile Bezahl Konfiguration. Bitte kontaktieren Sie den Administrator."
"Invalid giropay payment configuration. Please contact the administrator.","Ungültige giropay Bezahl Konfiguration. Bitte kontaktieren Sie den Administrator."
"Invalid Girotrust payment configuration. Please contact the administrator.","Ungültige Girotreuhand Bezahl Konfiguration. Bitte kontaktieren Sie den Administrator."
"Invalid iDEAL payment configuration. Please contact the administrator.","Ungültige iDEAL Bezahl Konfiguration. Bitte kontaktieren Sie den Administrator."
"Invalid payment configuration. Please contact the administrator.","Ungültige Bezahl Konfiguration. Bitte kontaktieren Sie den Administrator."
"eps (GiroCheckout)","eps (GiroCheckout)"
"The customer was redirected to eps.","Der Kunde wurde zu eps weitergeleitet."
"Payment with eps failed","Bezahlung mit eps fehlgeschlagen"
"Payment with eps was successful","Bezahlung mit eps war erfolgreich"
"eps general error","Genereller eps Fehler"
"Automatically generated by eps payment confirmation","Automatisch generiert durch eps Zahlungsbestätigung"
"Invalid eps payment configuration. Please contact the administrator.","Ungültige eps Bezahl Konfiguration. Bitte kontaktieren Sie den Administrator."
"An unexpected error occured, please check your order","Es ist ein unerwarteter Fehler aufgetrete, prüfen Sie bitte Ihre Bestellung"
"eps settings missing","eps Einstellungen fehlen"
"giropay settings missing","giropay Einstellungen fehlen"
"With giropay you pay simply, fast and secure by the online banking of your participating bank. You will be redirected to the online banking of your bank where you authorize the credit transfer.","Mit giropay zahlen Sie einfach, schnell und sicher im Online-Banking Ihrer teilnehmenden Bank oder Sparkasse. Sie werden direkt zum Online-Banking Ihrer Bank weitergeleitet, wo Sie die Überweisung durch Eingabe von PIN und TAN freigeben."
"Hereby you authorize us to charge your current account with the invoiced amount by direct debit.","Hiermit ermächtigen Sie uns, den fälligen Betrag von Ihrem Konto mittels Lastschrift einzuziehen."
"On the following secure website, you are asked to enter your credit card data. If your credit card is enabled for 3D Secure (Verified by Visa or MasterCard Secure Code), additional information will be passed for a security check at your bank.","Im nächsten Schritt werden Sie aufgefordert, Ihre Kreditkartendaten einzugeben. Wenn Ihre Kreditkarte für 3D-Secure (Verified by Visa bzw. MasterCard SecureCode) freigeschaltet ist, werden Sie während des Bezahlprozesses zur Sicherheitsabfrage Ihrer Bank weitergeleitet."
"With iDEAL you pay simply, fast and secure by online banking of your bank. You will be redirected to the online banking of your bank where you authorize the credit transfer with PIN and TAN.","iDEAL ist das Online Überweisungssystem der niederländischen Banken, das auf dem etablierten Onlinebanking-Verfahren der Kreditinstitute basiert. Im folgenden müssen Sie Ihre Bank auswählen und können anschließend die Zahlung in Ihrem Online-Banking durchführen."
"With eps online transfer you pay simply, fast and secure by online banking of your bank. Your will be redirected to the online banking at your bank where you authorize the credit transfer with PIN and TAN.","Mit eps Online-Überweisung zahlen Sie einfach, schnell und sicher im Online-Banking Ihrer Bank. Im nächsten Schritt werden Sie direkt zum Online-Banking Ihrer Bank weitergeleitet, wo Sie die Zahlung durch Eingabe von PIN und TAN freigeben."
"No issuers banks found.","Es wurde keine Bank gefunden."
"use bank account/bank code","Kontonummer/BLZ verwenden"
"Account holder","Kontoinhaber"
"Show Bank Account/ Bank Code input field","Zeige Kontonummer/ BLZ Eingabefeld"
"Purpose","Verwendungszweck"
"You can define your own purpose using this placeholders:
  {ORDERID}: Bestellnummer
  {CUSTOMERID}: Kundennummer
  {SHOPNAME}: Shop Name 
  {CUSTOMERNAME}: Kundenname
  {CUSTOMERFIRSTNAME}: Kunde Vorname 
  {CUSTOMERLASTNAME}: Kunde Nachname
For example: If your purpose is Best. {ORDERID}, {SHOPNAME} then the submitted purpose must be Best. 55342, TestShop
The maximum length of the purpose is 27 characters.", "Sie können in Ihrem Verwendungszweck die folgenden Platzhalter verwenden:
  {ORDERID}: Bestellnummer
  {CUSTOMERID}: Kundennummer
  {SHOPNAME}: Shop Name 
  {CUSTOMERNAME}: Kundenname
  {CUSTOMERFIRSTNAME}: Kunde Vorname 
  {CUSTOMERLASTNAME}: Kunde Nachname

Beispiel: Wenn Ihr Verwendungszweck Best. 55342, TestShop lauten soll, dann müssen Sie folgendes angeben: Best. {ORDERID}, {SHOPNAME}.
Die maximale Länge beträgt 27 Zeichen."
"The maximum length of the purpose is 27 characters.","Die maximale Länge beträgt 27 Zeichen."
"SOFORT Überweisung","SOFORT Überweisung"
"Direct payment via online banking. Make payments the easy way with your own online banking details – fast and direct. You will be redirected to the web site of SOFORT, where you will enter your banking data and initiate the electronic wire transfer.","Mit SOFORT Überweisung geht das online Bezahlen einfach wie nie! Sie nutzen dabei ganz bequem Ihre vertrauten Online-Banking Daten und sind so auf der sicheren Seite. Sie werden auf die SOFORT-Webseiten weiter geleitet, geben dort Ihre Bankdaten ein und lösen die Online-Überweisung aus."
"Paydirekt","Paydirekt"
"The online payment method of the German banks and Sparkassen. You will be redirected to the Paydirekt web site, where you will log into your personal account and authorize the payment. You require prior registration with Paydirekt. This payment method only works with German banking accounts.","Das Online-Bezahlverfahren Ihrer Banken und Sparkassen. Sie werden auf die Webseiten von Paydirekt weiter geleitet, wo Sie sich mit Ihren persönlichen Zugangsdaten anmelden und dann die Zahlung bestätigen. Sie benötigen vorab eine Registrierung bei Paydirekt."
"Enable Visa/Mastercard", "Aktiviert Visa/Mastercard"
"Enable AMEX","Aktiviert AMEX"
"Enable JCB","Aktiviert JCB"
"Branch","Branche"
"Please specify the branch as agreed with your PSP","Geben Sie die Branche an, die Sie mit Ihrem PSP vereinbart haben"
"The customer pays with Paydirekt.","Der Kunde bezahlt mit Paydirekt"
"Payment with Paydirekt was successful","Bezahlung mit Paydirekt war erfolgreich"
"Payment with Paydirekt failed","Bezahlung mit Paydirekt fehlgeschlagen"
"The customer pays with SOFORT Überweisung.","Der Kunde bezahlt mit SOFORT Überweisung"
"Payment with SOFORT Überweisung was successful","Bezahlung mit SOFORT Überweisung war erfolgreich"
"Payment with SOFORT Überweisung failed","Bezahlung mit SOFORT Überweisung fehlgeschlagen"
